,MASTERID,LAT,LONG,STRAT,Actual_Zn_PPM,Pred_Zn_PPM
1749,ID093N071189,55.0659,-124.71231,TrJTk,80.9,127.21
18,ID093G071022,53.55716,-122.85953,TrJTk,41.5,79.96
1904,ID093O072500,55.1499,-123.50518,KTmc,55.8,56.06
1740,ID093N071179,55.01345,-124.80545,TrJTk,120.1,100.51
720,ID093J071555,54.54705,-123.62034,TrJTk,142.0,119.48
230,ID093G073110,53.72592,-122.42988,TrJTk,83.7,86.4
1217,ID093J073580,54.37051,-123.19639,TrJTk,142.6,126.13
944,ID093J071806,54.45842,-123.43169,TrJTk,97.5,112.16
1352,ID093J073732,54.23518,-122.70187,TrJTk,138.0,125.54
1087,ID093J073431,54.29311,-123.3158,TrJTk,86.9,104.15
540,ID093J071133,54.79845,-123.96966,LTQCh,72.1,101.38
754,ID093J071594,54.57982,-123.47213,KTpg,235.4,196.32
186,ID093G073062,53.45817,-122.48126,uPrPzS,105.4,109.42
883,ID093J071738,54.4117,-123.53029,TrJTk,133.6,126.8
600,ID093J071277,54.87534,-123.82726,TrJTk,93.2,109.0
207,ID093G073085,53.27955,-122.38261,uTrJNc,70.6,79.76
942,ID093J071804,54.50943,-123.4445,TrJTk,96.9,104.45
477,ID093J071063,54.22814,-123.63597,TrJTk,132.1,122.49
1751,ID093N071191,55.10414,-124.68763,TrJTk,49.4,76.49
719,ID093J071554,54.53819,-123.62675,TrJTk,109.5,127.62
955,ID093J071818,54.42864,-123.8548,TrJTk,52.3,88.61
1703,ID093J075179,54.64054,-122.79481,CPSm,102.3,122.92
678,ID093J071509,54.71337,-123.53397,KTpg,97.1,104.23
800,ID093J071645,54.49133,-123.55875,TrJTk,124.8,115.27
87,ID093G071952,53.49309,-122.98854,uTrJNc,119.7,114.04
266,ID093G073155,53.5739,-122.0188,TrJTk,52.8,55.66
1659,ID093J075131,54.77971,-122.95376,CPSm,130.2,139.95
1411,ID093J073796,54.49661,-122.98519,TrJTk,154.4,158.93
175,ID093G073050,53.30732,-122.66417,uTrJNc,108.0,95.65
573,ID093J071246,54.55611,-123.90161,LTQCh,95.6,103.39
