,MASTERID,LAT,LONG,STRAT,Actual_Cu_PPM,Pred_Cu_PPM
1230,ID093J073595,54.47699,-123.27206,TrJTk,41.53,55.42
459,ID093J071043,54.0485,-123.68109,LTQCh,26.93,29.73
733,ID093J071571,54.63613,-123.48801,KTpg,45.99,47.82
455,ID093H073189,53.81464,-121.93527,CPSm,75.07,50.68
1327,ID093J073704,54.32432,-122.7109,TrJTk,24.91,30.33
903,ID093J071760,54.62667,-123.23753,KTpg,38.21,52.62
1299,ID093J073672,54.48727,-123.16752,TrJTk,65.17,60.88
1418,ID093J073806,54.37971,-122.52732,KTpg,31.6,42.59
662,ID093J071460,54.98753,-123.64454,KTpg,65.98,65.82
1529,ID093J073928,54.5526,-122.88134,KTpg,31.07,43.47
1407,ID093J073792,54.52102,-123.00184,TrJTk,47.92,53.99
416,ID093G073343,53.9945,-123.64502,MTrCc,35.14,31.16
261,ID093G073145,53.59037,-122.12973,TrJTk,38.54,46.9
1235,ID093J073600,54.45092,-123.22648,TrJTk,42.74,46.67
1363,ID093J073744,54.29641,-122.66876,LTQCh,34.19,35.87
1930,ID093O075003,55.03315,-123.2197,TrJTk,40.09,42.64
1843,ID093O072415,55.19,-123.996,TrJTk,27.85,29.74
347,ID093G073260,53.76836,-123.62144,MTrCc,19.41,22.66
924,ID093J071784,54.48056,-123.33418,TrJTk,68.45,73.32
1627,ID093J075094,54.87417,-123.11169,TrJTk,67.78,57.36
1524,ID093J073923,54.5676,-122.92912,TrJTk,35.97,67.3
1195,ID093J073556,54.35152,-123.10354,TrJTk,29.5,31.74
1542,ID093J073951,54.87471,-123.35467,Kpe,22.47,32.77
77,ID093G071940,53.48507,-123.59517,MTrCc,33.67,29.78
565,ID093J071237,54.79554,-123.92532,TrJTk,37.24,39.15
1845,ID093O072422,55.22295,-123.99424,TrJTk,40.45,37.95
1720,ID093N071157,55.01883,-124.21761,lJCl,29.65,27.1
651,ID093J071397,54.76752,-123.69899,KTpg,27.01,36.07
1108,ID093J073455,54.24602,-123.22889,TrJTk,39.32,39.86
1686,ID093J075160,54.73384,-123.0743,KTpg,40.59,44.76
723,ID093J071559,54.57208,-123.64263,TrJTk,78.15,73.37
773,ID093J071615,54.6612,-123.32877,Kpe,69.58,69.77
1104,ID093J073451,54.3165,-123.2619,TrJTk,46.41,48.55
463,ID093J071048,54.12436,-123.75063,MTrCc,37.05,39.8
